wl,n
0.3000,1.5527702635739
0.3220,1.5458699289209
0.3440,1.5404466868331
0.3660,1.536090527917
0.3880,1.53252773217
0.4100,1.529568767224
0.4320,1.5270784291406
0.4540,1.5249578457324
0.4760,1.5231331738499
0.4980,1.5215482528369
0.5200,1.5201596882463
0.5420,1.5189334783109
0.5640,1.5178426478869
0.5860,1.516865556749
0.6080,1.5159846691816
0.6300,1.5151856452759
0.6520,1.5144566604975
0.6740,1.513787889767
0.6960,1.5131711117948
0.7180,1.5125994024544
0.7400,1.5120668948646
0.7620,1.5115685899969
0.7840,1.5111002059336
0.8060,1.5106580569705
0.8280,1.5102389559626
0.8500,1.5098401349174
0.8720,1.5094591800239
0.8940,1.5090939781792
0.9160,1.5087426727363
0.9380,1.5084036266923
0.9600,1.5080753919142
0.9820,1.5077566832938
1.004,1.5074463569456
1.026,1.5071433917383
1.048,1.5068468735887
1.070,1.5065559820529
1.092,1.5062699788386
1.114,1.5059881979287
1.136,1.5057100370628
1.158,1.5054349503657
1.180,1.5051624419507
1.202,1.5048920603512
1.224,1.504623393661
1.246,1.5043560652815
1.268,1.5040897301904
1.290,1.5038240716592
1.312,1.5035587983604
1.334,1.5032936418104
1.356,1.5030283541053
1.378,1.502762705911
1.400,1.5024964846769
1.422,1.5022294930427
1.444,1.5019615474168
1.466,1.5016924767046
1.488,1.5014221211688
1.510,1.5011503314064
1.532,1.5008769674285
1.554,1.5006018978322
1.576,1.5003249990526
1.598,1.5000461546874
1.620,1.4997652548858
1.642,1.4994821957943
1.664,1.4991968790539
1.686,1.4989092113428
1.708,1.4986191039608
1.730,1.4983264724496
1.752,1.4980312362468
1.774,1.49773331837
1.796,1.4974326451267
1.818,1.4971291458495
1.840,1.4968227526526
1.862,1.4965134002084
1.884,1.4962010255422
1.906,1.4958855678422
1.928,1.495566968286
1.950,1.4952451698788
1.972,1.4949201173049
1.994,1.4945917567902
2.016,1.4942600359742
2.038,1.4939249037922
2.060,1.4935863103651
2.082,1.4932442068978
2.104,1.4928985455839
2.126,1.492549279517
2.148,1.4921963626087
2.170,1.491839749511
2.192,1.4914793955446
2.214,1.4911152566309
2.236,1.4907472892292
2.258,1.4903754502768
2.280,1.4899996971337
2.302,1.4896199875296
2.324,1.4892362795147
2.346,1.4888485314127
2.368,1.4884567017771
2.390,1.4880607493487
2.412,1.4876606330169
2.434,1.4872563117813
2.456,1.4868477447166
2.478,1.4864348909385
2.500,1.486017709571

wl,k
0.300,2.8607E-06
0.310,1.3679E-06
0.320,6.6608E-07
0.334,2.6415E-07
0.350,9.2894E-08
0.365,3.4191E-08
0.370,2.7405E-08
0.380,2.0740E-08
0.390,1.3731E-08
0.400,1.0227E-08
0.405,9.0558E-09
0.420,9.3912E-09
0.436,1.1147E-08
0.460,1.0286E-08
0.500,9.5781E-09
0.546,6.9658E-09
0.580,9.2541E-09
0.620,1.1877E-08
0.660,1.2643E-08
0.700,8.9305E-09
1.060,1.0137E-08
1.530,9.8390E-08
1.970,1.0933E-06
2.325,4.2911E-06
2.500,8.1300E-06
