wl,n
2.00,3.4698672176
2.01,3.4698671859
2.02,3.4698671540
2.03,3.4698671220
2.04,3.4698670898
2.05,3.4698670574
2.06,3.4698670248
2.07,3.4698669921
2.08,3.4698669592
2.09,3.4698669261
2.10,3.4698668929
2.11,3.4698668595
2.12,3.4698668259
2.13,3.4698667921
2.14,3.4698667581
2.15,3.4698667240
2.16,3.4698666897
2.17,3.4698666553
2.18,3.4698666206
2.19,3.4698665858
2.20,3.4698665508
2.21,3.4698665156
2.22,3.4698664803
2.23,3.4698664447
2.24,3.4698664090
2.25,3.4698663732
2.26,3.4698663371
2.27,3.4698663009
2.28,3.4698662645
2.29,3.4698662279
2.30,3.4698661911
2.31,3.4698661542
2.32,3.4698661171
2.33,3.4698660798
2.34,3.4698660423
2.35,3.4698660046
2.36,3.4698659668
2.37,3.4698659288
2.38,3.4698658906
2.39,3.4698658522
2.40,3.4698658136
2.41,3.4698657749
2.42,3.4698657360
2.43,3.4698656969
2.44,3.4698656576
2.45,3.4698656181
2.46,3.4698655785
2.47,3.4698655387
2.48,3.4698654986
2.49,3.4698654584
2.50,3.4698654181
2.51,3.4698653775
2.52,3.4698653368
2.53,3.4698652958
2.54,3.4698652547
2.55,3.4698652134
2.56,3.4698651719
2.57,3.4698651303
2.58,3.4698650884
2.59,3.4698650464
2.60,3.4698650041
2.61,3.4698649617
2.62,3.4698649191
2.63,3.4698648763
2.64,3.4698648334
2.65,3.4698647902
2.66,3.4698647469
2.67,3.4698647033
2.68,3.4698646596
2.69,3.4698646157
2.70,3.4698645716
2.71,3.4698645273
2.72,3.4698644828
2.73,3.4698644381
2.74,3.4698643933
2.75,3.4698643482
2.76,3.4698643030
2.77,3.4698642575
2.78,3.4698642119
2.79,3.4698641661
2.80,3.4698641201
2.81,3.4698640739
2.82,3.4698640275
2.83,3.4698639809
2.84,3.4698639341
2.85,3.4698638871
2.86,3.4698638399
2.87,3.4698637925
2.88,3.4698637450
2.89,3.4698636972
2.90,3.4698636493
2.91,3.4698636011
2.92,3.4698635528
2.93,3.4698635042
2.94,3.4698634555
2.95,3.4698634065
2.96,3.4698633574
2.97,3.4698633081
2.98,3.4698632585
2.99,3.4698632088
3.00,3.4698631589
3.01,3.4698631087
3.02,3.4698630584
3.03,3.4698630078
3.04,3.4698629571
3.05,3.4698629062
3.06,3.4698628550
3.07,3.4698628037
3.08,3.4698627522
3.09,3.4698627004
3.10,3.4698626485
3.11,3.4698625963
3.12,3.4698625439
3.13,3.4698624914
3.14,3.4698624386
3.15,3.4698623856
3.16,3.4698623325
3.17,3.4698622791
3.18,3.4698622255
3.19,3.4698621717
3.20,3.4698621177
3.21,3.4698620635
3.22,3.4698620091
3.23,3.4698619544
3.24,3.4698618996
3.25,3.4698618445
3.26,3.4698617893
3.27,3.4698617338
3.28,3.4698616781
3.29,3.4698616223
3.30,3.4698615662
3.31,3.4698615098
3.32,3.4698614533
3.33,3.4698613966
3.34,3.4698613396
3.35,3.4698612825
3.36,3.4698612251
3.37,3.4698611675
3.38,3.4698611097
3.39,3.4698610517
3.40,3.4698609934
3.41,3.4698609350
3.42,3.4698608763
3.43,3.4698608174
3.44,3.4698607583
3.45,3.4698606990
3.46,3.4698606394
3.47,3.4698605796
3.48,3.4698605197
