wl,n
0.2066,1.010
0.2101,1.083
0.2138,1.133
0.2175,1.186
0.2214,1.247
0.2254,1.340
0.2296,1.471
0.2339,1.579
0.2384,1.589
0.2431,1.571
0.2480,1.570
0.2530,1.597
0.2583,1.658
0.2638,1.764
0.2695,1.988
0.2755,2.452
0.2818,3.120
0.2883,4.087
0.2952,4.888
0.3024,5.020
0.3100,5.010
0.3179,5.016
0.3263,5.065
0.3351,5.156
0.3444,5.296
0.3542,5.610
0.3647,6.522
0.3757,6.709
0.3875,6.062
0.3999,5.570
0.4133,5.222
0.4275,4.961
0.4428,4.753
0.4592,4.583
0.4769,4.442
0.4959,4.320
0.5166,4.215
0.5391,4.123
0.5636,4.042
0.5904,3.969
0.6199,3.906
0.6525,3.847
0.6888,3.796
0.7293,3.752
0.7749,3.714
0.8266,3.673

wl,k
0.2066,2.909
0.2101,2.982
0.2138,3.045
0.2175,3.120
0.2214,3.206
0.2254,3.302
0.2296,3.366
0.2339,3.353
0.2384,3.354
0.2431,3.429
0.2480,3.565
0.2530,3.749
0.2583,3.979
0.2638,4.278
0.2695,4.678
0.2755,5.082
0.2818,5.344
0.2883,5.395
0.2952,4.639
0.3024,3.979
0.3100,3.586
0.3179,3.346
0.3263,3.182
0.3351,3.058
0.3444,2.987
0.3542,3.014
0.3647,2.705
0.3757,1.320
0.3875,0.630
0.3999,0.387
0.4133,0.269
0.4275,0.203
0.4428,0.163
0.4592,0.130
0.4769,0.090
0.4959,0.073
0.5166,0.060
0.5391,0.048
0.5636,0.032
0.5904,0.030
0.6199,0.022
0.6525,0.016
0.6888,0.013
0.7293,0.010
0.7749,0.008
0.8266,0.005
