wl,n
0.4300,2.8716984534676
0.4410,2.8373991242351
0.4520,2.807398241715
0.4630,2.7809538407212
0.4740,2.7574851259965
0.4850,2.7365308507863
0.4960,2.717720000925
0.5070,2.7007507270572
0.5180,2.6853749315024
0.5290,2.6713868103835
0.5400,2.6586142126062
0.5510,2.6469120377672
0.5620,2.6361571317853
0.5730,2.6262442975524
0.5840,2.617083145934
0.5950,2.6085955872816
0.6060,2.6007138162386
0.6170,2.5933786801207
0.6280,2.586538348225
0.6390,2.5801472191919
0.6500,2.5741650181407
0.6610,2.5685560461889
0.6720,2.5632885531605
0.6830,2.558334210519
0.6940,2.5536676663268
0.7050,2.5492661677198
0.7160,2.5451092392467
0.7270,2.5411784076666
0.7380,2.537456965568
0.7490,2.5339297675716
0.7600,2.5305830540022
0.7710,2.5274042978105
0.7820,2.5243820712501
0.7930,2.5215059294047
0.8040,2.5187663081355
0.8150,2.5161544344132
0.8260,2.5136622473204
0.8370,2.5112823282741
0.8480,2.5090078392425
0.8590,2.5068324679081
0.8700,2.5047503788877
0.8810,2.5027561702437
0.8920,2.500844834633
0.9030,2.4990117245273
0.9140,2.4972525210176
0.9250,2.4955632057825
0.9360,2.4939400358513
0.9470,2.492379520846
0.9580,2.4908784024217
0.9690,2.4894336356651
0.9800,2.4880423722357
0.9910,2.4867019450648
1.002,2.4854098544472
1.013,2.4841637553801
1.024,2.4829614460229
1.035,2.4818008571627
1.046,2.4806800425866
1.057,2.4795971702711
1.068,2.4785505143091
1.079,2.4775384475047
1.090,2.4765594345717
1.101,2.47561202588
1.112,2.4746948516993
1.123,2.4738066168959
1.134,2.4729460960394
1.145,2.472112128886
1.156,2.4713036162031
1.167,2.4705195159065
1.178,2.4697588394841
1.189,2.4690206486804
1.200,2.4683040524209
1.211,2.467608203957
1.222,2.4669322982122
1.233,2.4662755693143
1.244,2.4656372882979
1.255,2.465016760965
1.266,2.4644133258899
1.277,2.4638263525575
1.288,2.4632552396265
1.299,2.4626994133051
1.310,2.4621583258332
1.321,2.4616314540619
1.332,2.461118298124
1.343,2.4606183801879
1.354,2.4601312432895
1.365,2.4596564502366
1.376,2.4591935825806
1.387,2.45874223965
1.398,2.4583020376427
1.409,2.4578726087725
1.420,2.4574536004654
1.431,2.4570446746035
1.442,2.456645506813
1.453,2.456255785792
1.464,2.4558752126784
1.475,2.4555035004518
1.486,2.4551403733702
1.497,2.4547855664371
1.508,2.4544388248991
1.519,2.4540999037692
1.530,2.453768567378
