wl,n
0.4500,2.1053991205326
0.4855,2.0641591809475
0.5210,2.0364046576963
0.5565,2.0165620222097
0.5920,2.0017431825226
0.6275,1.9903034132443
0.6630,1.9812384299481
0.6985,1.9739011625339
0.7340,1.967856501676
0.7695,1.9628015020141
0.8050,1.9585190453341
0.8405,1.9548496746958
0.8760,1.951673803947
0.9115,1.9489001072286
0.9470,1.9464577250055
0.9825,1.9442909019182
1.018,1.9423552170941
1.054,1.9405916196742
1.089,1.9390407747225
1.125,1.9375897258996
1.160,1.9362996770244
1.196,1.9350800934911
1.231,1.9339851200848
1.267,1.9329402359086
1.302,1.931993698105
1.338,1.9310827212803
1.373,1.9302507126397
1.409,1.9294436674652
1.444,1.9287010208981
1.480,1.9279754488361
1.515,1.9273031424545
1.551,1.9266419287697
1.586,1.9260253541567
1.622,1.925415259031
1.657,1.9248430371583
1.693,1.9242736803274
1.728,1.9237368346046
1.764,1.9231999793451
1.799,1.9226913471039
1.835,1.9221803862381
1.870,1.9216941927751
1.906,1.92120377374
1.941,1.9207353192895
1.977,1.9202610666575
2.012,1.9198064931603
2.048,1.9193448005627
2.083,1.9189009156928
2.119,1.9184487879019
2.154,1.9180129307594
2.190,1.9175678625113
2.225,1.9171378000279
2.261,1.9166976820895
2.296,1.9162715283412
2.332,1.9158345740127
2.367,1.9154107268061
2.403,1.9149754139108
2.438,1.9145525045259
2.474,1.9141175292535
2.509,1.9136943823026
2.545,1.9132586222066
2.580,1.9128342233393
2.616,1.9123967074643
2.651,1.9119701772069
2.687,1.9115300618122
2.722,1.9111006342424
2.758,1.9106571829508
2.793,1.910224188208
2.829,1.9097767556803
2.864,1.9093396055408
2.900,1.9088876239739
2.935,1.9084457998911
2.971,1.9079887677949
3.006,1.9075418109328
3.042,1.9070792837545
3.077,1.906626786642
3.113,1.9061583688987
3.148,1.9056999684107
3.184,1.9052253070563
3.219,1.9047606784844
3.255,1.9042794572964
3.290,1.9038083093198
3.326,1.9033202441279
3.361,1.9028423145311
3.397,1.9023471491472
3.432,1.9018622011606
3.468,1.9013597038944
3.503,1.9008675230553
3.539,1.90035748372
3.574,1.8998578751716
3.610,1.8993401025039
3.645,1.8988328886628
3.681,1.8983072080907
3.716,1.8977922266276
3.752,1.8972584783353
3.787,1.8967355804198
3.823,1.8961936176639
3.858,1.8956626664367
3.894,1.895112354077
3.929,1.8945732233145
3.965,1.8940144365295
4.000,1.8934670094746
