wl,n
0.3610,2.2536188372446
0.4087,2.2175180846337
0.4565,2.1939348738945
0.5042,2.1775931655618
0.5520,2.1656772460894
0.5997,2.1567039774518
0.6474,2.1497269478528
0.6952,2.1441551684373
0.7429,2.1396281749494
0.7907,2.1358639982683
0.8384,2.1326938748577
0.8861,2.1299763534032
0.9339,2.1276088810792
0.9816,2.1255277273435
1.029,2.1236825691306
1.077,2.1219967566062
1.125,2.1204601972828
1.173,2.1190453244439
1.220,2.1177565584732
1.268,2.1165214522989
1.316,2.1153537372681
1.364,2.1142413439859
1.411,2.1131960875292
1.459,2.1121652537716
1.507,2.1111644633372
1.555,2.1101877420879
1.602,2.1092497951661
1.650,2.1083064275319
1.698,2.1073740232667
1.745,2.1064685424718
1.793,2.1055486808101
1.841,2.1046313090028
1.889,2.1037142675664
1.936,2.102814822302
1.984,2.1018930482856
2.032,2.1009665693079
2.080,2.1000340585009
2.127,2.0991139893569
2.175,2.0981661648768
2.223,2.0972091243345
2.271,2.0962420031863
2.318,2.0952845087209
2.366,2.0942951963645
2.414,2.0932936723373
2.462,2.0922793415556
2.509,2.0912732074092
2.557,2.0902319606986
2.605,2.0891764017893
2.653,2.0881060986603
2.700,2.0870434199559
2.748,2.0859427763542
2.796,2.0848262671324
2.843,2.0837173270682
2.891,2.0825684608225
2.939,2.0814027980708
2.987,2.0802200589441
3.034,2.0790451574249
3.082,2.0778278477225
3.130,2.0765927025324
3.178,2.0753394878121
3.225,2.0740946559873
3.273,2.0728050214067
3.321,2.0714966674467
3.369,2.0701693890725
3.416,2.0688512330449
3.464,2.0674859160107
3.512,2.0661010931237
3.560,2.0646965771787
3.607,2.0633020629595
3.655,2.0618580312426
3.703,2.0603937658676
3.751,2.0589090897898
3.798,2.05743539837
3.846,2.0559098102383
3.894,2.0543632924262
3.942,2.0527956726145
3.989,2.0512400990902
4.037,2.0496302086808
4.085,2.0479987050718
4.132,2.0463800835435
4.180,2.044705297659
4.228,2.0430083862887
4.276,2.0412891763794
4.323,2.0395840094877
4.371,2.0378201535029
4.419,2.0360334779592
4.467,2.0342238056605
4.514,2.032429379944
4.562,2.0305736653138
4.610,2.0286944173578
4.658,2.02679145266
4.705,2.0249049740576
4.753,2.0229545218959
4.801,2.0209797951706
4.849,2.0189806024685
4.896,2.0169991665377
4.944,2.0149509783292
4.992,2.0128777400875
5.040,2.0107792508143
5.087,2.0086998167119
5.135,2.0065507484397
